NO_ASET,SUB_ASET,NO_ITEM,RINCIAN,NO_POLIS,TGL_POLIS,PREMI,KETERANGAN_ASURANSI,ALASAN_ASURANSI,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON,STATUS,PERIODE,TAHUN,NO_ASURANSI,SCAN
120504000408,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120502001661,0,1,Civil Engineering Complleted Risks (CECR),0906.22.002.4.00001-1/00,Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),6123859975,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS CECR PT PELINDO REGIONAL 4_compressed20231127112403.pdf
120504001780,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,sudah proses pengajuan usul hapus,,,,,1,6,2023,1,
120504003490,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000263,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000687,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000406,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003450,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000400,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000986,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000403,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003471,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003496,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000404,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003437,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003509,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000349,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003454,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000364,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000690,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003493,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000381,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000682,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003478,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000353,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003503,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000566,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003234,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000412,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120506001222,0,1,Civil Engineering Complleted Risks (CECR),0906.23.003.4.00001-7/00,Thu Jan 26 2023 00:00:00 GMT+0700 (Western Indonesia Time),4683406068,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CECR2023020920231127105857.pdf
120506001225,0,1,Civil Engineering Complleted Risks (CECR),0906.23.003.4.00001-7/00,Thu Jan 26 2023 00:00:00 GMT+0700 (Western Indonesia Time),4683406068,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CECR2023020920231127105857.pdf
120501000635,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,,,,,,1,6,2023,1,
120502002182,0,1,Civil Engineering Complleted Risks (CECR),0906.22.002.4.00001-1/00,Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),6123859975,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS CECR PT PELINDO REGIONAL 4_compressed20231127112403.pdf
120505001808,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,Tidak Ada Anggarannya untuk diasuransikan,,,,,1,6,2023,1,
120504000383,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000405,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003504,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003492,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003511,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000564,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000402,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003512,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000459,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120501000482,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,karena lahan tidak diasuransikan,,,,,1,6,2023,1,
120504003485,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003484,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000985,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003513,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000574,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003449,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000256,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000987,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000352,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003446,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000258,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000342,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003453,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003456,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504003457,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000692,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000686,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000385,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120504000354,0,1,Contractors Plant Machinery (CPM),0701.23.003.4.00001-7/00,Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),12922883784,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS SCHEDULE PELINDO III - CPM20230209_compressed20231127105206.pdf
120505001422,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,,,,,,1,6,2023,1,
120505001420,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,,,,,,1,6,2023,1,
120505001421,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,,,,,,1,6,2023,1,
120506001781,0,1,Property All Risks (PAR),0103.22.002.4.00001-1/00,Fri Dec 15 2023 00:00:00 GMT+0700 (Western Indonesia Time),199838111,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS PAR PT PELINDO REGIONAL 4_compressed20231127113020.pdf
120506001782,0,1,Property All Risks (PAR),0103.22.002.4.00001-1/00,Thu Feb 02 2023 00:00:00 GMT+0700 (Western Indonesia Time),199838111,31 Desember 2022 - 31 Desember 2023,,,,,,1,6,2023,1,storage/dokumen_polis/POLIS PAR PT PELINDO REGIONAL 4_compressed20231127113020.pdf
